equity_original,equity_nn
12569.720811947662,10566.005995489328
12612.900778858932,10566.005995489328
12577.555649421274,10566.005995489328
12541.146583916663,10566.005995489328
12505.17817710881,10566.005995489328
12469.676096233661,10566.005995489328
12434.012724260308,10566.005995489328
12396.702427963624,10566.005995489328
12355.85504357707,10566.005995489328
12315.685374146698,10566.005995489328
12276.339263693495,10566.005995489328
12236.352194611949,10566.005995489328
12195.706961531158,10566.005995489328
12156.04495380435,10566.005995489328
12117.04451805803,10566.005995489328
12078.841239552517,10566.005995489328
12042.075360404542,10566.005995489328
12006.061313026064,10566.005995489328
12054.359125869418,10566.005995489328
12101.992809223959,10566.005995489328
12150.066929816569,10566.005995489328
12200.275752327703,10566.005995489328
12252.912530038935,10566.005995489328
12304.98955883999,10566.005995489328
12355.775371298112,10566.005995489328
12405.605047319494,10566.005995489328
12366.78788967526,10566.005995489328
12329.41768860383,10566.005995489328
12291.265364617859,10566.005995489328
12253.312481184457,10566.005995489328
12214.687649692727,10566.005995489328
12176.09028942362,10566.005995489328
12135.701334352307,10566.005995489328
12095.408744375372,10566.005995489328
12146.962643455743,10566.005995489328
12197.505542769211,10566.005995489328
12248.544062099128,10566.005995489328
12298.665558284943,10566.005995489328
12258.918161118338,10566.005995489328
12220.398451918989,10566.005995489328
12182.755875966022,10566.005995489328
12144.372776210152,10566.005995489328
12107.074183579702,10566.005995489328
12070.805484842498,10566.005995489328
12035.321687577594,10566.005995489328
12080.165394782392,10566.005995489328
12043.870058269542,10566.005995489328
12008.13295449868,10566.005995489328
11973.039935148952,10566.005995489328
11938.899291065276,10566.005995489328
11905.425835844719,10566.005995489328
11872.149061577416,10566.005995489328
11838.723502213135,10566.005995489328
11805.799768517732,10566.005995489328
11772.576279193428,10566.005995489328
11740.537308079789,10566.005995489328
11709.323972179624,10566.005995489328
11668.992731597404,10566.005995489328
11629.039447931771,10566.005995489328
11682.45665916197,10566.005995489328
11736.629783875725,10566.005995489328
11790.019127917963,10566.005995489328
11842.88066167147,10566.005995489328
11894.509235703745,10566.005995489328
11947.607176378802,10566.005995489328
12000.940971458767,10566.005995489328
12053.608066890163,10566.005995489328
12106.184648529585,10566.005995489328
12160.291474337619,10566.005995489328
12214.633519898203,10566.005995489328
12171.88802266034,10566.005995489328
12130.687209376967,10566.005995489328
12089.709305747763,10566.005995489328
12135.672570097851,10566.005995489328
12098.92273890207,10566.005995489328
12144.693085658333,10566.005995489328
12189.579829242273,10566.005995489328
12233.27467652111,10566.005995489328
12276.172790114693,10566.005995489328
12318.306766688198,10566.005995489328
12359.374044600203,10566.005995489328
12398.965081400189,10566.005995489328
12440.66959882116,10566.005995489328
12480.942358540964,10566.005995489328
12445.859742615181,10566.005995489328
12489.952078622786,10566.005995489328
12454.539516064557,10566.005995489328
12420.204999269416,10566.005995489328
12386.848645504286,10566.005995489328
12353.33775115988,10566.005995489328
12321.146217572215,10566.005995489328
12289.711222097956,10534.571000015068
12258.521583443287,10534.571000015068
12225.719792862166,10534.571000015068
12194.003844465411,10534.571000015068
12162.861886802353,10534.571000015068
12132.504343525941,10534.571000015068
12103.092344635344,10534.571000015068
12072.79833450479,10504.276989884514
12041.388159919275,10504.276989884514
12010.095843786297,10504.276989884514
11979.987270100319,10504.276989884514
11952.010670011494,10504.276989884514
11924.918187026742,10504.276989884514
11897.416600932747,10504.276989884514
11870.63368281868,10504.276989884514
11844.563830284189,10504.276989884514
11818.904659180733,10504.276989884514
11794.03830275431,10504.276989884514
11826.399651916081,10504.276989884514
11796.622655261981,10504.276989884514
11765.818317967101,10504.276989884514
11804.416230396426,10504.276989884514
11773.560655047142,10504.276989884514
11807.533171619947,10504.276989884514
11841.67910776791,10504.276989884514
11875.400313264678,10504.276989884514
11909.08426887105,10504.276989884514
11942.10507781581,10504.276989884514
11974.581536289068,10504.276989884514
12006.881104871378,10504.276989884514
12039.416425530399,10504.276989884514
12072.027766811989,10504.276989884514
12103.995447834626,10504.276989884514
12134.894008784218,10504.276989884514
12165.828379833392,10504.276989884514
12196.924595472805,10504.276989884514
12228.885381088867,10504.276989884514
12260.977525210032,10504.276989884514
12292.448794918524,10504.276989884514
